id;niveau_scolaire;departement;niveau_planche;permis_de_conduire;lieu_depart;option_semestre;compte_valide
1;Bac_plus_2;STAPS_APAS;Monitor;false;HTTP;false;true
2;Bac_plus_8;STAPS_APAS;Deb;false;Shirt;false;true
3;Bac_plus_5;STAPS_APAS;Monitor;false;Health synergistic Sleek;true;false
4;Bac_plus_5;STAPS_Management_du_sport;Monitor;true;Communications Highway;false;false
5;Bac_plus_2;STAPS_APAS;Deb;false;overriding web-enabled;false;false
6;Bac_plus_8;STAPS_APAS;DebPlus;true;models Architect optical;true;false
7;Bac_plus_4;STAPS_Education_et_motricite;Fun;true;Wooden repurpose;true;false
8;Bac_plus_7;STAPS_Education_et_motricite;Monitor;true;wireless Incredible;false;false
9;Bac_plus_1;STAPS_Education_et_motricite;DebPlus;false;programming;true;false
10;Bac_plus_6;STAPS_APAS;Monitor;false;COM;false;false
