id;nom;volume;niveau_planche_a_voile;utilisable;commentaire
1;Calipso;28825;Monitor;false;Producer
2;Beach;89341;Fun;false;Strategist Representative black
3;Techno_133;37828;Deb;false;Agent USB
4;RRD_Firerace;41292;Perf;true;invoice
5;Beach;99691;DebPlus;false;Auto Loan Account Sausages Orchestrator
6;Calipso;43392;DebPlus;false;Virginia Brazilian Real Team-oriented
7;Tabou_rocket;52686;Fun;false;whiteboard value-added Internal
8;Beach;61326;Fun;false;parse
9;Techno_133;9374;Perf;false;bus copying
10;Core_160;55602;DebPlus;true;Baby plum infomediaries
