id;nom;date;plan_deau;coeff;commentaire
1;Fantastic collaborat;2020-11-09;Monteynard;14806;solid state Credit Card Account deposit
2;haptic;2020-11-10;Hyeres;97352;expedite Fantastic niches
3;Cambridgeshire;2020-11-10;Laffrey;56054;Electronics teal quantifying
4;Agent;2020-11-10;Hyeres;5438;Village deposit
5;Handcrafted;2020-11-09;Meze;72319;infrastructures ability Polarised
6;cross-platform;2020-11-09;Hyeres;39778;Metal Bedfordshire
7;virtual Innovative;2020-11-10;Monteynard;59669;mobile Fresh
8;Handcrafted;2020-11-09;Hyeres;54604;extensible Response Rustic Wooden Chair
9;Down-sized;2020-11-09;Meze;75256;GB multi-byte array
10;Kazakhstan;2020-11-10;Meze;59464;models Leone application
