id;nom_complet;surface;niveau;utilisable;commentaire
1;Blow;27135;Monitor;true;Facilitator
2;Beat;90488;Monitor;true;Frozen Mill Steel
3;Loft_Blade;59168;Fun;false;override
4;Loft_Purelip;58019;Perf;true;AGP
5;Allstar;72711;Deb;true;Gardens input
6;Gun_Beat;39635;Deb;true;hack Strategist French Guiana
7;Beat;81771;Fun;true;transmitter Cotton harness
8;Gun_Beat;86437;Deb;true;copy encompassing Identity
9;Rebel;94273;Perf;false;Brand functionalities
10;Loft_O2;41980;Deb;true;SQL hacking programming
